transaction_id,gl_account_id,date,amount,description,department,vendor
TXN00001,4000,2024-10-23,66079.89,Monthly 4000 - October 2024,Operations,Vendor_4000
TXN00027,9700,2024-10-23,1337.76,Monthly 9700 - October 2024,Operations,Vendor_9700
TXN00026,9600,2024-10-23,3500.0,Monthly 9600 - October 2024,Operations,Vendor_9600
TXN00025,9500,2024-10-23,1389.5,Monthly 9500 - October 2024,Operations,Vendor_9500
TXN00024,3100,2024-10-23,11624.26,Monthly 3100 - October 2024,Operations,Vendor_3100
TXN00023,3000,2024-10-23,15246.95,Monthly 3000 - October 2024,Operations,Vendor_3000
TXN00022,9200,2024-10-23,5261.21,Monthly 9200 - October 2024,Operations,Vendor_9200
TXN00021,9100,2024-10-23,3943.43,Monthly 9100 - October 2024,Operations,Vendor_9100
TXN00019,8200,2024-10-23,1777.96,Monthly 8200 - October 2024,Operations,Vendor_8200
TXN00018,8100,2024-10-23,6080.36,Monthly 8100 - October 2024,Operations,Vendor_8100
TXN00017,8000,2024-10-23,11696.84,Monthly 8000 - October 2024,Operations,Vendor_8000
TXN00016,7300,2024-10-23,2191.04,Monthly 7300 - October 2024,Operations,Vendor_7300
TXN00015,7200,2024-10-23,2521.29,Monthly 7200 - October 2024,Operations,Vendor_7200
TXN00020,9000,2024-10-23,2087.86,Monthly 9000 - October 2024,Operations,Vendor_9000
TXN00013,6300,2024-10-23,1075.8,Monthly 6300 - October 2024,Operations,Vendor_6300
TXN00014,7100,2024-10-23,2363.86,Monthly 7100 - October 2024,Operations,Vendor_7100
TXN00003,4200,2024-10-23,6778.87,Monthly 4200 - October 2024,Operations,Vendor_4200
TXN00004,5000,2024-10-23,12500.0,Monthly 5000 - October 2024,Operations,Vendor_5000
TXN00005,5100,2024-10-23,1970.25,Monthly 5100 - October 2024,Operations,Vendor_5100
TXN00006,5200,2024-10-23,9699.41,Monthly 5200 - October 2024,Operations,Vendor_5200
TXN00007,5300,2024-10-23,3364.3,Monthly 5300 - October 2024,Operations,Vendor_5300
TXN00002,4100,2024-10-23,21500.75,Monthly 4100 - October 2024,Operations,Vendor_4100
TXN00009,5510,2024-10-23,12650.09,Monthly 5510 - October 2024,Operations,Vendor_5510
TXN00010,5520,2024-10-23,17364.52,Monthly 5520 - October 2024,Operations,Vendor_5520
TXN00011,5530,2024-10-23,9296.85,Monthly 5530 - October 2024,Operations,Vendor_5530
TXN00012,6200,2024-10-23,3657.47,Monthly 6200 - October 2024,Operations,Vendor_6200
TXN00008,5500,2024-10-23,86945.76,Monthly 5500 - October 2024,Operations,Vendor_5500
TXN00042,7200,2024-11-22,2524.51,Monthly 7200 - November 2024,Operations,Vendor_7200
TXN00043,7300,2024-11-22,2136.07,Monthly 7300 - November 2024,Operations,Vendor_7300
TXN00044,8000,2024-11-22,12299.04,Monthly 8000 - November 2024,Operations,Vendor_8000
TXN00045,8100,2024-11-22,6284.09,Monthly 8100 - November 2024,Operations,Vendor_8100
TXN00046,8200,2024-11-22,2444.67,Monthly 8200 - November 2024,Operations,Vendor_8200
TXN00048,9100,2024-11-22,4070.0,Monthly 9100 - November 2024,Operations,Vendor_9100
TXN00051,3100,2024-11-22,10823.89,Monthly 3100 - November 2024,Operations,Vendor_3100
TXN00050,3000,2024-11-22,19698.34,Monthly 3000 - November 2024,Operations,Vendor_3000
TXN00052,9500,2024-11-22,1707.65,Monthly 9500 - November 2024,Operations,Vendor_9500
TXN00053,9600,2024-11-22,3500.0,Monthly 9600 - November 2024,Operations,Vendor_9600
TXN00054,9700,2024-11-22,1593.75,Monthly 9700 - November 2024,Operations,Vendor_9700
TXN00049,9200,2024-11-22,3283.79,Monthly 9200 - November 2024,Operations,Vendor_9200
TXN00041,7100,2024-11-22,2378.17,Monthly 7100 - November 2024,Operations,Vendor_7100
TXN00047,9000,2024-11-22,5054.3,Monthly 9000 - November 2024,Operations,Vendor_9000
TXN00039,6200,2024-11-22,3367.63,Monthly 6200 - November 2024,Operations,Vendor_6200
TXN00029,4100,2024-11-22,25949.64,Monthly 4100 - November 2024,Operations,Vendor_4100
TXN00030,4200,2024-11-22,8342.24,Monthly 4200 - November 2024,Operations,Vendor_4200
TXN00031,5000,2024-11-22,12500.0,Monthly 5000 - November 2024,Operations,Vendor_5000
TXN00032,5100,2024-11-22,1443.41,Monthly 5100 - November 2024,Operations,Vendor_5100
TXN00033,5200,2024-11-22,9775.17,Monthly 5200 - November 2024,Operations,Vendor_5200
TXN00028,4000,2024-11-22,68675.55,Monthly 4000 - November 2024,Operations,Vendor_4000
TXN00040,6300,2024-11-22,1362.75,Monthly 6300 - November 2024,Operations,Vendor_6300
TXN00035,5500,2024-11-22,86116.06,Monthly 5500 - November 2024,Operations,Vendor_5500
TXN00036,5510,2024-11-22,12652.87,Monthly 5510 - November 2024,Operations,Vendor_5510
TXN00037,5520,2024-11-22,16324.36,Monthly 5520 - November 2024,Operations,Vendor_5520
TXN00038,5530,2024-11-22,11686.43,Monthly 5530 - November 2024,Operations,Vendor_5530
TXN00034,5300,2024-11-22,3470.66,Monthly 5300 - November 2024,Operations,Vendor_5300
TXN00070,7300,2024-12-22,2175.11,Monthly 7300 - December 2024,Operations,Vendor_7300
TXN00071,8000,2024-12-22,19596.94,Monthly 8000 - December 2024,Operations,Vendor_8000
TXN00072,8100,2024-12-22,3684.08,Monthly 8100 - December 2024,Operations,Vendor_8100
TXN00073,8200,2024-12-22,9541.77,Monthly 8200 - December 2024,Operations,Vendor_8200
TXN00074,9000,2024-12-22,1080.45,Monthly 9000 - December 2024,Operations,Vendor_9000
TXN00081,9700,2024-12-22,374.35,Monthly 9700 - December 2024,Operations,Vendor_9700
TXN00076,9200,2024-12-22,3266.68,Monthly 9200 - December 2024,Operations,Vendor_9200
TXN00078,3100,2024-12-22,11634.58,Monthly 3100 - December 2024,Operations,Vendor_3100
TXN00079,9500,2024-12-22,1271.97,Monthly 9500 - December 2024,Operations,Vendor_9500
TXN00080,9600,2024-12-22,3500.0,Monthly 9600 - December 2024,Operations,Vendor_9600
TXN00069,7200,2024-12-22,2202.87,Monthly 7200 - December 2024,Operations,Vendor_7200
TXN00075,9100,2024-12-22,4470.31,Monthly 9100 - December 2024,Operations,Vendor_9100
TXN00077,3000,2024-12-22,24185.52,Monthly 3000 - December 2024,Operations,Vendor_3000
TXN00068,7100,2024-12-22,2350.34,Monthly 7100 - December 2024,Operations,Vendor_7100
TXN00066,6200,2024-12-22,4335.51,Monthly 6200 - December 2024,Operations,Vendor_6200
TXN00067,6300,2024-12-22,1271.97,Monthly 6300 - December 2024,Operations,Vendor_6300
TXN00055,4000,2024-12-22,93563.95,Monthly 4000 - December 2024,Operations,Vendor_4000
TXN00056,4100,2024-12-22,24992.61,Monthly 4100 - December 2024,Operations,Vendor_4100
TXN00057,4200,2024-12-22,8393.19,Monthly 4200 - December 2024,Operations,Vendor_4200
TXN00059,5100,2024-12-22,1354.85,Monthly 5100 - December 2024,Operations,Vendor_5100
TXN00058,5000,2024-12-22,12500.0,Monthly 5000 - December 2024,Operations,Vendor_5000
TXN00061,5300,2024-12-22,3391.11,Monthly 5300 - December 2024,Operations,Vendor_5300
TXN00062,5500,2024-12-22,86667.7,Monthly 5500 - December 2024,Operations,Vendor_5500
TXN00063,5510,2024-12-22,13496.47,Monthly 5510 - December 2024,Operations,Vendor_5510
TXN00064,5520,2024-12-22,17864.06,Monthly 5520 - December 2024,Operations,Vendor_5520
TXN00065,5530,2024-12-22,10032.07,Monthly 5530 - December 2024,Operations,Vendor_5530
TXN00060,5200,2024-12-22,9022.57,Monthly 5200 - December 2024,Operations,Vendor_5200
TXN00101,9000,2025-01-21,5503.88,Monthly 9000 - January 2025,Operations,Vendor_9000
TXN00098,8000,2025-01-21,11438.29,Monthly 8000 - January 2025,Operations,Vendor_8000
TXN00099,8100,2025-01-21,5281.27,Monthly 8100 - January 2025,Operations,Vendor_8100
TXN00100,8200,2025-01-21,305.05,Monthly 8200 - January 2025,Operations,Vendor_8200
TXN00102,9100,2025-01-21,3222.85,Monthly 9100 - January 2025,Operations,Vendor_9100
TXN00097,7300,2025-01-21,2263.68,Monthly 7300 - January 2025,Operations,Vendor_7300
TXN00104,3000,2025-01-21,18609.21,Monthly 3000 - January 2025,Operations,Vendor_3000
TXN00105,3100,2025-01-21,9656.87,Monthly 3100 - January 2025,Operations,Vendor_3100
TXN00106,9500,2025-01-21,965.98,Monthly 9500 - January 2025,Operations,Vendor_9500
TXN00107,9600,2025-01-21,3500.0,Monthly 9600 - January 2025,Operations,Vendor_9600
TXN00108,9700,2025-01-21,1481.23,Monthly 9700 - January 2025,Operations,Vendor_9700
TXN00103,9200,2025-01-21,6148.82,Monthly 9200 - January 2025,Operations,Vendor_9200
TXN00096,7200,2025-01-21,1694.24,Monthly 7200 - January 2025,Operations,Vendor_7200
TXN00088,5300,2025-01-21,3665.36,Monthly 5300 - January 2025,Operations,Vendor_5300
TXN00094,6300,2025-01-21,1690.32,Monthly 6300 - January 2025,Operations,Vendor_6300
TXN00083,4100,2025-01-21,14724.39,Monthly 4100 - January 2025,Operations,Vendor_4100
TXN00084,4200,2025-01-21,6890.94,Monthly 4200 - January 2025,Operations,Vendor_4200
TXN00085,5000,2025-01-21,12500.0,Monthly 5000 - January 2025,Operations,Vendor_5000
TXN00086,5100,2025-01-21,2399.4,Monthly 5100 - January 2025,Operations,Vendor_5100
TXN00087,5200,2025-01-21,9127.28,Monthly 5200 - January 2025,Operations,Vendor_5200
TXN00082,4000,2025-01-21,48038.07,Monthly 4000 - January 2025,Operations,Vendor_4000
TXN00089,5500,2025-01-21,83057.75,Monthly 5500 - January 2025,Operations,Vendor_5500
TXN00090,5510,2025-01-21,13236.15,Monthly 5510 - January 2025,Operations,Vendor_5510
TXN00091,5520,2025-01-21,17348.33,Monthly 5520 - January 2025,Operations,Vendor_5520
TXN00092,5530,2025-01-21,10111.02,Monthly 5530 - January 2025,Operations,Vendor_5530
TXN00093,6200,2025-01-21,4420.52,Monthly 6200 - January 2025,Operations,Vendor_6200
TXN00095,7100,2025-01-21,3238.1,Monthly 7100 - January 2025,Operations,Vendor_7100
TXN00124,7300,2025-02-20,2298.79,Monthly 7300 - February 2025,Operations,Vendor_7300
TXN00125,8000,2025-02-20,12756.54,Monthly 8000 - February 2025,Operations,Vendor_8000
TXN00126,8100,2025-02-20,2993.59,Monthly 8100 - February 2025,Operations,Vendor_8100
TXN00127,8200,2025-02-20,1732.63,Monthly 8200 - February 2025,Operations,Vendor_8200
TXN00128,9000,2025-02-20,5885.08,Monthly 9000 - February 2025,Operations,Vendor_9000
TXN00131,3000,2025-02-20,17288.91,Monthly 3000 - February 2025,Operations,Vendor_3000
TXN00130,9200,2025-02-20,8522.54,Monthly 9200 - February 2025,Operations,Vendor_9200
TXN00132,3100,2025-02-20,9054.77,Monthly 3100 - February 2025,Operations,Vendor_3100
TXN00133,9500,2025-02-20,600.67,Monthly 9500 - February 2025,Operations,Vendor_9500
TXN00134,9600,2025-02-20,3500.0,Monthly 9600 - February 2025,Operations,Vendor_9600
TXN00123,7200,2025-02-20,2525.44,Monthly 7200 - February 2025,Operations,Vendor_7200
TXN00129,9100,2025-02-20,4015.16,Monthly 9100 - February 2025,Operations,Vendor_9100
TXN00122,7100,2025-02-20,2715.8,Monthly 7100 - February 2025,Operations,Vendor_7100
TXN00135,9700,2025-02-20,1756.5,Monthly 9700 - February 2025,Operations,Vendor_9700
TXN00120,6200,2025-02-20,3866.87,Monthly 6200 - February 2025,Operations,Vendor_6200
TXN00109,4000,2025-02-20,69700.57,Monthly 4000 - February 2025,Operations,Vendor_4000
TXN00110,4100,2025-02-20,28602.25,Monthly 4100 - February 2025,Operations,Vendor_4100
TXN00111,4200,2025-02-20,9341.0,Monthly 4200 - February 2025,Operations,Vendor_4200
TXN00112,5000,2025-02-20,12500.0,Monthly 5000 - February 2025,Operations,Vendor_5000
TXN00113,5100,2025-02-20,1764.02,Monthly 5100 - February 2025,Operations,Vendor_5100
TXN00121,6300,2025-02-20,2228.18,Monthly 6300 - February 2025,Operations,Vendor_6300
TXN00115,5300,2025-02-20,3561.02,Monthly 5300 - February 2025,Operations,Vendor_5300
TXN00116,5500,2025-02-20,85413.34,Monthly 5500 - February 2025,Operations,Vendor_5500
TXN00117,5510,2025-02-20,12858.16,Monthly 5510 - February 2025,Operations,Vendor_5510
TXN00118,5520,2025-02-20,16527.95,Monthly 5520 - February 2025,Operations,Vendor_5520
TXN00119,5530,2025-02-20,13216.44,Monthly 5530 - February 2025,Operations,Vendor_5530
TXN00114,5200,2025-02-20,9309.0,Monthly 5200 - February 2025,Operations,Vendor_5200
TXN00151,7300,2025-03-22,2239.83,Monthly 7300 - March 2025,Operations,Vendor_7300
TXN00152,8000,2025-03-22,9677.9,Monthly 8000 - March 2025,Operations,Vendor_8000
TXN00153,8100,2025-03-22,7257.91,Monthly 8100 - March 2025,Operations,Vendor_8100
TXN00154,8200,2025-03-22,5237.26,Monthly 8200 - March 2025,Operations,Vendor_8200
TXN00155,9000,2025-03-22,4643.89,Monthly 9000 - March 2025,Operations,Vendor_9000
TXN00158,3000,2025-03-22,19689.85,Monthly 3000 - March 2025,Operations,Vendor_3000
TXN00157,9200,2025-03-22,4897.45,Monthly 9200 - March 2025,Operations,Vendor_9200
TXN00159,3100,2025-03-22,11687.04,Monthly 3100 - March 2025,Operations,Vendor_3100
TXN00160,9500,2025-03-22,1412.15,Monthly 9500 - March 2025,Operations,Vendor_9500
TXN00161,9600,2025-03-22,3500.0,Monthly 9600 - March 2025,Operations,Vendor_9600
TXN00150,7200,2025-03-22,1014.39,Monthly 7200 - March 2025,Operations,Vendor_7200
TXN00156,9100,2025-03-22,4987.39,Monthly 9100 - March 2025,Operations,Vendor_9100
TXN00162,9700,2025-03-22,650.61,Monthly 9700 - March 2025,Operations,Vendor_9700
TXN00149,7100,2025-03-22,2038.86,Monthly 7100 - March 2025,Operations,Vendor_7100
TXN00147,6200,2025-03-22,3759.88,Monthly 6200 - March 2025,Operations,Vendor_6200
TXN00148,6300,2025-03-22,3461.83,Monthly 6300 - March 2025,Operations,Vendor_6300
TXN00136,4000,2025-03-22,63648.5,Monthly 4000 - March 2025,Operations,Vendor_4000
TXN00137,4100,2025-03-22,17059.84,Monthly 4100 - March 2025,Operations,Vendor_4100
TXN00138,4200,2025-03-22,9614.84,Monthly 4200 - March 2025,Operations,Vendor_4200
TXN00140,5100,2025-03-22,1872.62,Monthly 5100 - March 2025,Operations,Vendor_5100
TXN00139,5000,2025-03-22,12500.0,Monthly 5000 - March 2025,Operations,Vendor_5000
TXN00142,5300,2025-03-22,3559.79,Monthly 5300 - March 2025,Operations,Vendor_5300
TXN00143,5500,2025-03-22,84127.01,Monthly 5500 - March 2025,Operations,Vendor_5500
TXN00144,5510,2025-03-22,13084.09,Monthly 5510 - March 2025,Operations,Vendor_5510
TXN00145,5520,2025-03-22,16199.88,Monthly 5520 - March 2025,Operations,Vendor_5520
TXN00146,5530,2025-03-22,8116.5,Monthly 5530 - March 2025,Operations,Vendor_5530
TXN00141,5200,2025-03-22,9841.34,Monthly 5200 - March 2025,Operations,Vendor_5200
TXN00182,9000,2025-04-21,6080.27,Monthly 9000 - April 2025,Operations,Vendor_9000
TXN00179,8000,2025-04-21,9156.24,Monthly 8000 - April 2025,Operations,Vendor_8000
TXN00180,8100,2025-04-21,3308.64,Monthly 8100 - April 2025,Operations,Vendor_8100
TXN00181,8200,2025-04-21,3938.44,Monthly 8200 - April 2025,Operations,Vendor_8200
TXN00183,9100,2025-04-21,3170.72,Monthly 9100 - April 2025,Operations,Vendor_9100
TXN00178,7300,2025-04-21,2248.37,Monthly 7300 - April 2025,Operations,Vendor_7300
TXN00185,3000,2025-04-21,22317.99,Monthly 3000 - April 2025,Operations,Vendor_3000
TXN00186,3100,2025-04-21,9037.04,Monthly 3100 - April 2025,Operations,Vendor_3100
TXN00187,9500,2025-04-21,808.28,Monthly 9500 - April 2025,Operations,Vendor_9500
TXN00188,9600,2025-04-21,3500.0,Monthly 9600 - April 2025,Operations,Vendor_9600
TXN00189,9700,2025-04-21,1350.7,Monthly 9700 - April 2025,Operations,Vendor_9700
TXN00184,9200,2025-04-21,4028.03,Monthly 9200 - April 2025,Operations,Vendor_9200
TXN00177,7200,2025-04-21,2217.43,Monthly 7200 - April 2025,Operations,Vendor_7200
TXN00176,7100,2025-04-21,2327.09,Monthly 7100 - April 2025,Operations,Vendor_7100
TXN00175,6300,2025-04-21,1709.3,Monthly 6300 - April 2025,Operations,Vendor_6300
TXN00164,4100,2025-04-21,29302.96,Monthly 4100 - April 2025,Operations,Vendor_4100
TXN00165,4200,2025-04-21,6863.63,Monthly 4200 - April 2025,Operations,Vendor_4200
TXN00166,5000,2025-04-21,12500.0,Monthly 5000 - April 2025,Operations,Vendor_5000
TXN00167,5100,2025-04-21,2514.79,Monthly 5100 - April 2025,Operations,Vendor_5100
TXN00168,5200,2025-04-21,9482.9,Monthly 5200 - April 2025,Operations,Vendor_5200
TXN00163,4000,2025-04-21,66964.28,Monthly 4000 - April 2025,Operations,Vendor_4000
TXN00170,5500,2025-04-21,85546.11,Monthly 5500 - April 2025,Operations,Vendor_5500
TXN00171,5510,2025-04-21,12550.94,Monthly 5510 - April 2025,Operations,Vendor_5510
TXN00172,5520,2025-04-21,16606.16,Monthly 5520 - April 2025,Operations,Vendor_5520
TXN00173,5530,2025-04-21,15744.82,Monthly 5530 - April 2025,Operations,Vendor_5530
TXN00174,6200,2025-04-21,4359.43,Monthly 6200 - April 2025,Operations,Vendor_6200
TXN00169,5300,2025-04-21,3343.4,Monthly 5300 - April 2025,Operations,Vendor_5300
TXN00205,7300,2025-05-21,2201.02,Monthly 7300 - May 2025,Operations,Vendor_7300
TXN00206,8000,2025-05-21,10923.1,Monthly 8000 - May 2025,Operations,Vendor_8000
TXN00207,8100,2025-05-21,7108.62,Monthly 8100 - May 2025,Operations,Vendor_8100
TXN00208,8200,2025-05-21,8500.76,Monthly 8200 - May 2025,Operations,Vendor_8200
TXN00209,9000,2025-05-21,5222.99,Monthly 9000 - May 2025,Operations,Vendor_9000
TXN00212,3000,2025-05-21,23563.85,Monthly 3000 - May 2025,Operations,Vendor_3000
TXN00211,9200,2025-05-21,8198.24,Monthly 9200 - May 2025,Operations,Vendor_9200
TXN00213,3100,2025-05-21,10942.61,Monthly 3100 - May 2025,Operations,Vendor_3100
TXN00214,9500,2025-05-21,1009.83,Monthly 9500 - May 2025,Operations,Vendor_9500
TXN00215,9600,2025-05-21,3500.0,Monthly 9600 - May 2025,Operations,Vendor_9600
TXN00204,7200,2025-05-21,956.47,Monthly 7200 - May 2025,Operations,Vendor_7200
TXN00210,9100,2025-05-21,5197.49,Monthly 9100 - May 2025,Operations,Vendor_9100
TXN00203,7100,2025-05-21,2300.8,Monthly 7100 - May 2025,Operations,Vendor_7100
TXN00216,9700,2025-05-21,1390.23,Monthly 9700 - May 2025,Operations,Vendor_9700
TXN00201,6200,2025-05-21,3294.2,Monthly 6200 - May 2025,Operations,Vendor_6200
TXN00190,4000,2025-05-21,60595.37,Monthly 4000 - May 2025,Operations,Vendor_4000
TXN00191,4100,2025-05-21,26315.1,Monthly 4100 - May 2025,Operations,Vendor_4100
TXN00192,4200,2025-05-21,6510.14,Monthly 4200 - May 2025,Operations,Vendor_4200
TXN00193,5000,2025-05-21,12500.0,Monthly 5000 - May 2025,Operations,Vendor_5000
TXN00194,5100,2025-05-21,2273.19,Monthly 5100 - May 2025,Operations,Vendor_5100
TXN00202,6300,2025-05-21,2162.82,Monthly 6300 - May 2025,Operations,Vendor_6300
TXN00196,5300,2025-05-21,3317.36,Monthly 5300 - May 2025,Operations,Vendor_5300
TXN00197,5500,2025-05-21,85418.44,Monthly 5500 - May 2025,Operations,Vendor_5500
TXN00198,5510,2025-05-21,13452.54,Monthly 5510 - May 2025,Operations,Vendor_5510
TXN00199,5520,2025-05-21,17936.75,Monthly 5520 - May 2025,Operations,Vendor_5520
TXN00200,5530,2025-05-21,19213.44,Monthly 5530 - May 2025,Operations,Vendor_5530
TXN00195,5200,2025-05-21,9944.3,Monthly 5200 - May 2025,Operations,Vendor_5200
TXN00232,7300,2025-06-20,2174.5,Monthly 7300 - June 2025,Operations,Vendor_7300
TXN00233,8000,2025-06-20,12664.57,Monthly 8000 - June 2025,Operations,Vendor_8000
TXN00234,8100,2025-06-20,4314.05,Monthly 8100 - June 2025,Operations,Vendor_8100
TXN00235,8200,2025-06-20,2543.46,Monthly 8200 - June 2025,Operations,Vendor_8200
TXN00236,9000,2025-06-20,5850.18,Monthly 9000 - June 2025,Operations,Vendor_9000
TXN00239,3000,2025-06-20,19183.31,Monthly 3000 - June 2025,Operations,Vendor_3000
TXN00238,9200,2025-06-20,6304.83,Monthly 9200 - June 2025,Operations,Vendor_9200
TXN00240,3100,2025-06-20,11158.33,Monthly 3100 - June 2025,Operations,Vendor_3100
TXN00241,9500,2025-06-20,1596.95,Monthly 9500 - June 2025,Operations,Vendor_9500
TXN00242,9600,2025-06-20,3500.0,Monthly 9600 - June 2025,Operations,Vendor_9600
TXN00231,7200,2025-06-20,777.48,Monthly 7200 - June 2025,Operations,Vendor_7200
TXN00237,9100,2025-06-20,3570.06,Monthly 9100 - June 2025,Operations,Vendor_9100
TXN00243,9700,2025-06-20,58.24,Monthly 9700 - June 2025,Operations,Vendor_9700
TXN00230,7100,2025-06-20,2431.18,Monthly 7100 - June 2025,Operations,Vendor_7100
TXN00228,6200,2025-06-20,4208.41,Monthly 6200 - June 2025,Operations,Vendor_6200
TXN00229,6300,2025-06-20,2340.22,Monthly 6300 - June 2025,Operations,Vendor_6300
TXN00217,4000,2025-06-20,66689.83,Monthly 4000 - June 2025,Operations,Vendor_4000
TXN00218,4100,2025-06-20,21764.3,Monthly 4100 - June 2025,Operations,Vendor_4100
TXN00219,4200,2025-06-20,8898.78,Monthly 4200 - June 2025,Operations,Vendor_4200
TXN00221,5100,2025-06-20,1581.79,Monthly 5100 - June 2025,Operations,Vendor_5100
TXN00220,5000,2025-06-20,12500.0,Monthly 5000 - June 2025,Operations,Vendor_5000
TXN00223,5300,2025-06-20,3393.37,Monthly 5300 - June 2025,Operations,Vendor_5300
TXN00224,5500,2025-06-20,85204.27,Monthly 5500 - June 2025,Operations,Vendor_5500
TXN00225,5510,2025-06-20,12716.68,Monthly 5510 - June 2025,Operations,Vendor_5510
TXN00226,5520,2025-06-20,17972.61,Monthly 5520 - June 2025,Operations,Vendor_5520
TXN00227,5530,2025-06-20,18632.75,Monthly 5530 - June 2025,Operations,Vendor_5530
TXN00222,5200,2025-06-20,9126.99,Monthly 5200 - June 2025,Operations,Vendor_5200
TXN00262,8200,2025-07-20,5703.53,Monthly 8200 - July 2025,Operations,Vendor_8200
TXN00259,7300,2025-07-20,2197.48,Monthly 7300 - July 2025,Operations,Vendor_7300
TXN00260,8000,2025-07-20,6959.53,Monthly 8000 - July 2025,Operations,Vendor_8000
TXN00261,8100,2025-07-20,4326.33,Monthly 8100 - July 2025,Operations,Vendor_8100
TXN00263,9000,2025-07-20,4612.01,Monthly 9000 - July 2025,Operations,Vendor_9000
TXN00258,7200,2025-07-20,2258.5,Monthly 7200 - July 2025,Operations,Vendor_7200
TXN00266,3000,2025-07-20,15740.43,Monthly 3000 - July 2025,Operations,Vendor_3000
TXN00267,3100,2025-07-20,11130.07,Monthly 3100 - July 2025,Operations,Vendor_3100
TXN00268,9500,2025-07-20,1758.79,Monthly 9500 - July 2025,Operations,Vendor_9500
TXN00269,9600,2025-07-20,3500.0,Monthly 9600 - July 2025,Operations,Vendor_9600
TXN00270,9700,2025-07-20,1480.91,Monthly 9700 - July 2025,Operations,Vendor_9700
TXN00265,9200,2025-07-20,5243.17,Monthly 9200 - July 2025,Operations,Vendor_9200
TXN00257,7100,2025-07-20,3291.72,Monthly 7100 - July 2025,Operations,Vendor_7100
TXN00264,9100,2025-07-20,4098.71,Monthly 9100 - July 2025,Operations,Vendor_9100
TXN00255,6200,2025-07-20,4225.49,Monthly 6200 - July 2025,Operations,Vendor_6200
TXN00245,4100,2025-07-20,16720.79,Monthly 4100 - July 2025,Operations,Vendor_4100
TXN00246,4200,2025-07-20,8920.32,Monthly 4200 - July 2025,Operations,Vendor_4200
TXN00247,5000,2025-07-20,12500.0,Monthly 5000 - July 2025,Operations,Vendor_5000
TXN00248,5100,2025-07-20,1574.24,Monthly 5100 - July 2025,Operations,Vendor_5100
TXN00249,5200,2025-07-20,9600.53,Monthly 5200 - July 2025,Operations,Vendor_5200
TXN00244,4000,2025-07-20,68440.29,Monthly 4000 - July 2025,Operations,Vendor_4000
TXN00250,5300,2025-07-20,3408.17,Monthly 5300 - July 2025,Operations,Vendor_5300
