transaction_id,gl_account_id,date,amount,description,department,vendor
TXN00262,8200,2025-07-20,5703.53,Monthly 8200 - July 2025,Operations,Vendor_8200
TXN00259,7300,2025-07-20,2197.48,Monthly 7300 - July 2025,Operations,Vendor_7300
TXN00260,8000,2025-07-20,6959.53,Monthly 8000 - July 2025,Operations,Vendor_8000
TXN00261,8100,2025-07-20,4326.33,Monthly 8100 - July 2025,Operations,Vendor_8100
TXN00263,9000,2025-07-20,4612.01,Monthly 9000 - July 2025,Operations,Vendor_9000
TXN00258,7200,2025-07-20,2258.5,Monthly 7200 - July 2025,Operations,Vendor_7200
TXN00266,3000,2025-07-20,15740.43,Monthly 3000 - July 2025,Operations,Vendor_3000
TXN00267,3100,2025-07-20,11130.07,Monthly 3100 - July 2025,Operations,Vendor_3100
TXN00268,9500,2025-07-20,1758.79,Monthly 9500 - July 2025,Operations,Vendor_9500
TXN00269,9600,2025-07-20,3500.0,Monthly 9600 - July 2025,Operations,Vendor_9600
TXN00270,9700,2025-07-20,1480.91,Monthly 9700 - July 2025,Operations,Vendor_9700
TXN00265,9200,2025-07-20,5243.17,Monthly 9200 - July 2025,Operations,Vendor_9200
TXN00257,7100,2025-07-20,3291.72,Monthly 7100 - July 2025,Operations,Vendor_7100
TXN00264,9100,2025-07-20,4098.71,Monthly 9100 - July 2025,Operations,Vendor_9100
TXN00255,6200,2025-07-20,4225.49,Monthly 6200 - July 2025,Operations,Vendor_6200
TXN00245,4100,2025-07-20,16720.79,Monthly 4100 - July 2025,Operations,Vendor_4100
TXN00246,4200,2025-07-20,8920.32,Monthly 4200 - July 2025,Operations,Vendor_4200
TXN00247,5000,2025-07-20,12500.0,Monthly 5000 - July 2025,Operations,Vendor_5000
TXN00248,5100,2025-07-20,1574.24,Monthly 5100 - July 2025,Operations,Vendor_5100
TXN00249,5200,2025-07-20,9600.53,Monthly 5200 - July 2025,Operations,Vendor_5200
TXN00244,4000,2025-07-20,68440.29,Monthly 4000 - July 2025,Operations,Vendor_4000
TXN00250,5300,2025-07-20,3408.17,Monthly 5300 - July 2025,Operations,Vendor_5300
TXN00251,5500,2025-07-20,86625.83,Monthly 5500 - July 2025,Operations,Vendor_5500
TXN00252,5510,2025-07-20,13463.32,Monthly 5510 - July 2025,Operations,Vendor_5510
TXN00253,5520,2025-07-20,16517.36,Monthly 5520 - July 2025,Operations,Vendor_5520
TXN00254,5530,2025-07-20,10646.98,Monthly 5530 - July 2025,Operations,Vendor_5530
TXN00256,6300,2025-07-20,2976.6,Monthly 6300 - July 2025,Operations,Vendor_6300
